Concurrency,Message Size,Heap Size,Garbage Collector,per10_latency (ms),per50_latency (ms),per90_latency (ms),per95_latency (ms),per98_latency (ms),per99_latency (ms),per99.5_latency (ms),per99.9_latency (ms),per99.95_latency (ms),per99.99_latency (ms)
500,7919,200m,UseSerialGC,0.0040737,0.0043224,0.00473728,0.0050185,0.005346028,0.005722652,0.006403656,0.0122940528,0.0145145328,0.1021013765
500,7919,500m,UseConcMarkSweepGC,0.00293179,0.0032186,0.00385712,0.00417915,0.0047194,0.005248812,0.0060644085,0.0121785152,0.02366587485,0.0513117803
500,7919,500m,UseG1GC,0.00426045,0.00441405,0.00493395,0.00515685,0.00576035,0.006413695,0.0079608325,0.01863383,0.0305830235,0.03596494435
500,7919,500m,UseParallelGC,0.00317732,0.0033857,0.00382158,0.00394786,0.004141312,0.004372712,0.005016712,0.0097808268,0.0130231912,0.02899589952
500,7919,500m,UseSerialGC,0.0052637,0.0054923,0.0057839,0.0059078,0.00621744,0.006965818,0.007656206,0.0150384546,0.0192344439,0.0405297492
500,7919,1g,UseConcMarkSweepGC,0.0046752,0.0048662,0.00576093,0.006097445,0.006648104,0.007035685,0.007815607,0.0137018064,0.02126322785,0.05207281302
500,7919,1g,UseG1GC,0.00463751,0.00480795,0.00536808,0.005650035,0.006748254,0.007547579,0.011790496,0.0298125104,0.0343937212,0.03752733404
500,7919,1g,UseParallelGC,0.00307541,0.0032443,0.00370458,0.003866185,0.004095942,0.004350434,0.0062336575,0.0182438313,0.0260295023,0.05267283816
500,7919,1g,UseSerialGC,0.00522206,0.0054277,0.0057307,0.005874,0.006304988,0.007102438,0.008395212,0.014620296,0.0267095778,0.04912266792
500,7919,4g,UseConcMarkSweepGC,0.01462905,0.01527595,0.01598285,0.0165046,0.01793827,0.0192206,0.0206015975,0.030193119,0.04524844925,0.0693923477
500,7919,4g,UseG1GC,0.00566995,0.00593735,0.0066469,0.00708265,0.0081849,0.01275686,0.027662595,0.042125713,0.0443940565,0.0462087313
500,7919,4g,UseParallelGC,0.00309269,0.00326175,0.00370219,0.004024505,0.004276988,0.012729242,0.0201822475,0.0325896889,0.04831610345,0.06866442069
500,7919,4g,UseSerialGC,0.00534497,0.0055285,0.00577091,0.005887475,0.006343658,0.007310721,0.024255427,0.0377538624,0.0790191519,0.1407347222
