Concurrency,Message Size,Heap Size,Garbage Collector,per10_latency (s),per50_latency (s),per90_latency (s),per95_latency (s),per98_latency (s),per99_latency (s),per99.5_latency (s),per99.9_latency (s),per99.95_latency (s),per99.99_latency (s)
200,1024,100m,UseParallelGC,0.002154,0.0023906,0.0028596,0.0030894,0.0033868,0.003832057,0.004699976,0.048303247,0.04983303695,0.05462539027
200,1024,100m,UseSerialGC,0.0028322,0.0032967,0.005005,0.0052816,0.00555955,0.005749425,0.0059522625,0.008957995,0.0102359375,0.0826423515
200,1024,200m,UseConcMarkSweepGC,0.00203385,0.0022817,0.002735,0.002961625,0.0032961,0.003564585,0.0039173475,0.0069643725,0.00875725275,0.0210917133
200,1024,200m,UseG1GC,0.0029155,0.0031687,0.0037221,0.00390994,0.004351062,0.004974,0.0059885265,0.0141351015,0.026509104,0.2400513361
200,1024,200m,UseParallelGC,0.0024411,0.0027143,0.00318618,0.00342728,0.003646536,0.0037729,0.00397734,0.0091725752,0.022437234,0.05026400472
200,1024,200m,UseSerialGC,0.00349073,0.0037746,0.0043862,0.004665235,0.005264642,0.005810414,0.0063381035,0.0110631544,0.0129893512,0.02107209846
200,1024,500m,UseConcMarkSweepGC,0.00257569,0.0038525,0.0041193,0.0042345,0.004539602,0.004973806,0.005741755,0.0101135407,0.01235248065,0.02742526431
200,1024,500m,UseG1GC,0.0035776,0.0038204,0.0043602,0.004548,0.00494532,0.00541814,0.00689538,0.012844044,0.016978252,0.0419566678
200,1024,500m,UseParallelGC,0.0027978,0.0032782,0.0038219,0.00398225,0.0041476,0.0042932,0.00457685,0.008089805,0.01288284,0.0408522235
200,1024,500m,UseSerialGC,0.00393118,0.0044345,0.0048572,0.00501331,0.0052649,0.005523416,0.0060387505,0.0126136671,0.01451693645,0.02826261252
200,1024,1g,UseConcMarkSweepGC,0.0047433,0.0048958,0.00533336,0.0056951,0.006216188,0.006854992,0.007665613,0.012889013,0.0207358303,0.03713552674
200,1024,1g,UseG1GC,0.00411663,0.0043389,0.00495589,0.0052283,0.005692384,0.006606581,0.00813962,0.0259948022,0.0338690886,0.0454767399
200,1024,1g,UseParallelGC,0.0028861,0.0030885,0.00348444,0.00365954,0.003917368,0.004063332,0.004773698,0.0187222854,0.0216732501,0.03126677186
200,1024,1g,UseSerialGC,0.00466306,0.00498705,0.00538242,0.00553351,0.00578108,0.006158217,0.0071511945,0.0140822718,0.01942201785,0.06575648086
200,1024,4g,UseConcMarkSweepGC,0.01505071,0.0159463,0.0169412,0.017435435,0.018153606,0.019358121,0.020793998,0.0256228393,0.0318019763,0.04823505261
200,1024,4g,UseG1GC,0.00576358,0.0061576,0.00694612,0.00740618,0.008474756,0.01059244,0.018247972,0.0468500208,0.04878568,0.053213296
200,1024,4g,UseParallelGC,0.0030748,0.00334185,0.00377223,0.00393218,0.00413592,0.004455919,0.0157120355,0.0271244423,0.0445848715,0.07418113836
200,1024,4g,UseSerialGC,0.0053482,0.00580655,0.00640624,0.00664255,0.006963342,0.007307486,0.0110386675,0.0335453776,0.03962112915,0.1299575797
200,10240,100m,UseConcMarkSweepGC,0.0021126,0.0025581,0.0034736,0.00393026,0.004698928,0.005658816,0.009430112,0.0197320768,0.0907836608,0.1008267802
200,10240,100m,UseG1GC,0.00145089,0.0040823,0.00882861,0.185429135,0.244011786,0.272149585,0.294935711,0.3432279456,0.3570125218,0.3987854206
